0 1 2
14 42 9
14 43 5
14 44 5
14 45 7
14 47 7
14 48 9
15 19 1
15 20 7
15 23 4
15 24 8
15 26 3
15 29 1
15 30 7
15 32 7
15 33 2
15 34 3
15 35 1
15 36 5
15 37 9
15 38 6
15 40 5
15 42 6
15 45 1
15 48 8
16 17 1
16 20 1
16 22 8
16 23 1
16 26 1
16 29 5
16 30 2
16 31 3
16 33 7
16 34 5
16 35 6
16 36 4
16 37 6
16 38 4
16 39 9
16 46 8
16 47 4
16 48 2
16 49 6
17 18 1
17 19 6
17 20 4
17 21 8
17 23 4
17 24 1
17 32 2
17 38 4
17 40 7
17 42 7
17 44 9
17 46 4
17 47 1
17 49 2
18 20 7
18 21 2
18 24 4
18 25 7
18 26 4
18 27 5
18 30 1
18 35 4
18 38 8
18 40 6
18 42 7
18 44 1
18 45 4
18 48 2
18 49 4
19 21 1
19 23 2
19 24 5
19 25 7
19 27 5
19 29 6
19 34 1
19 35 9
19 36 1
19 37 7
19 41 1
19 43 4
19 44 4
19 45 7
19 49 4
20 21 4
20 32 5
20 33 9
20 34 1
20 37 6
20 38 1
20 39 3
20 40 7
20 42 1
20 43 1
20 44 6
20 46 2
20 49 4
21 22 3
21 24 4
21 25 7
21 26 5
21 31 5
21 33 8
21 34 5
21 36 5
21 39 7
21 40 3
21 42 2
21 44 9
21 46 7
21 47 8
22 23 3
22 27 3
22 29 1
22 30 8
22 31 7
22 34 4
22 36 7
22 38 9
22 39 4
22 40 3
22 41 2
22 42 9
22 44 4
22 45 5
22 47 4
22 48 9
22 49 4
23 25 8
23 26 3
23 31 7
23 34 3
23 36 1
23 39 5
23 43 5
23 45 8
23 47 6
23 49 2
24 25 1
24 27 6
24 28 9
24 30 8
24 31 4
24 32 9
24 34 9
24 38 4
24 40 8
24 42 2
24 43 6
24 46 8
24 47 7
24 49 8
25 26 5
25 27 5
25 33 2
25 36 7
25 38 8
25 39 6
25 40 8
25 41 4
25 42 3
25 47 6
26 27 4
26 29 3
26 31 7
26 32 9
26 33 7
26 36 7
26 37 6
26 38 3
26 39 3
26 43 4
26 45 4
26 49 5
27 28 9
27 29 1
27 33 6
27 34 5
27 35 6
27 36 2
27 39 1
27 41 5
27 42 3
27 44 9
27 46 5
27 48 8
27 49 5
28 29 1
28 30 7
28 33 1
28 40 9
28 41 3
28 42 6
28 44 2
28 45 4
28 47 1
28 48 9
28 49 5
29 31 4
29 35 7
29 37 6
29 39 5
29 44 2
29 46 6
29 48 6
29 49 6
30 31 5
30 32 7
30 33 1
30 34 2
30 35 9
30 36 6
30 38 1
30 41 6
30 45 4
31 34 3
31 36 6
31 38 7
31 40 4
31 43 3
31 45 5
31 49 5
32 33 3
32 34 3
32 35 8
32 37 2
32 42 4
32 44 2
32 45 7
32 46 3
32 47 1
32 49 1
33 35 4
33 36 9
33 40 5
33 42 8
33 44 2
33 45 1
33 48 6
33 49 8
34 35 2
34 36 3
34 38 1
34 39 6
34 41 3
34 43 7
34 44 3
34 46 9
35 38 7
35 42 3
35 46 6
36 40 7
36 41 9
36 47 4
36 48 2
36 49 2
37 39 4
37 40 4
37 41 4
37 43 5
37 44 1
37 46 7
37 47 7
37 48 6
37 49 3
38 40 6
38 41 8
38 42 9
38 43 1
38 44 8
38 45 1
38 46 2
38 47 8
38 49 3
39 40 2
39 41 6
39 43 6
39 48 6
40 41 5
40 42 3
40 44 3
40 47 7
40 48 3
41 44 5
41 45 5
41 46 1
41 47 4
41 48 8
41 49 9
42 48 7
42 49 9
43 44 5
43 46 9
43 47 5
43 48 3
43 49 6
45 46 5
46 47 2
46 61 8
47 48 1
47 49 6
50 51 2
50 53 9
50 54 9
50 55 5
50 57 3
50 58 4
50 59 7
50 62 7
50 63 9
50 65 8
50 66 2
50 68 9
50 71 8
50 73 2
50 74 7
50 75 6
50 80 3
50 82 1
50 83 4
50 84 8
50 85 7
50 87 9
50 89 4
50 90 2
50 91 9
50 92 2
50 93 5
50 95 5
50 96 5
50 97 5
50 98 9
50 99 6
51 53 3
51 55 5
51 56 7
51 59 6
51 64 1
51 68 9
51 70 5
51 71 9
51 72 9
51 73 3
51 75 6
51 76 5
51 77 7
51 78 5
51 80 8
51 81 2
51 82 7
51 85 1
51 86 5
51 87 6
51 90 3
51 91 4
51 99 9
53 52 1
53 59 1
53 60 3
53 64 6
53 65 4
53 66 7
53 67 4
53 73 2
53 74 6
53 75 2
53 76 6
53 77 6
53 80 7
53 81 5
53 82 2
53 83 6
53 84 4
53 85 4
53 86 3
53 88 2
53 89 2
53 90 8
53 91 2
53 96 1
53 97 9
54 52 8
54 57 5
54 60 9
54 63 7
54 64 5
54 65 7
54 66 4
54 69 6
54 70 7
54 71 8
54 72 3
54 73 3
54 75 4
54 79 2
54 80 9
54 82 7
54 84 8
54 88 6
54 89 5
54 92 7
54 96 3
54 97 5
55 52 1
55 56 9
55 58 3
55 60 8
55 61 3
55 62 3
55 63 1
55 68 6
55 72 5
55 74 1
55 75 9
55 78 1
55 79 2
55 80 7
55 81 5
55 84 9
55 86 5
55 87 3
55 88 7
55 89 9
55 90 6
55 92 8
55 93 5
55 94 1
55 95 8
55 96 4
55 98 7
55 99 7
57 52 9
57 58 6
57 59 3
57 63 2
57 64 4
57 65 3
57 67 3
57 68 1
57 71 9
57 72 7
57 73 8
57 77 2
57 83 3
57 84 7
57 85 2
57 90 4
57 93 7
57 96 1
57 98 5
58 56 2
58 59 1
58 60 2
58 63 7
58 67 6
58 68 8
58 72 8
58 74 1
58 75 5
58 77 8
58 78 6
58 80 2
58 81 8
58 82 8
58 83 5
58 87 5
58 88 3
58 89 8
58 90 1
58 91 6
58 93 2
58 95 7
59 52 5
59 61 7
59 63 3
59 64 2
59 67 7
59 70 9
59 72 5
59 73 4
59 76 8
59 77 2
59 79 1
59 81 7
59 82 9
59 87 2
59 88 3
59 89 9
59 93 6
59 94 8
59 95 3
59 96 4
59 99 3
62 52 9
62 56 9
62 61 2
62 63 2
62 64 3
62 66 3
62 68 7
62 70 6
62 75 4
62 76 6
62 77 3
62 78 6
62 79 5
62 80 6
62 81 9
62 82 7
62 83 5
62 84 6
62 85 2
62 86 5
62 90 9
62 92 5
62 95 3
62 98 3
63 52 8
63 64 5
63 66 1
63 70 4
63 72 3
63 74 3
63 81 6
63 83 2
63 84 2
63 85 3
63 86 8
63 87 4
63 89 4
63 91 4
63 92 5
63 94 2
63 96 6
63 98 2
63 99 7
65 66 4
65 67 5
65 69 9
65 71 9
65 81 4
65 83 3
65 84 6
65 87 7
65 88 9
65 90 8
65 92 1
65 94 2
65 98 8
65 99 6
66 60 3
66 61 7
66 64 8
66 67 1
66 68 9
66 72 3
66 76 4
66 81 7
66 83 2
66 84 2
66 89 2
66 90 7
66 95 1
66 99 3
68 56 9
68 60 2
68 71 9
68 72 6
68 76 1
68 77 2
68 79 1
68 85 1
68 86 2
68 87 4
68 88 7
68 93 4
68 95 9
68 97 6
68 98 1
71 56 6
71 60 9
71 64 7
71 72 9
71 73 2
71 75 5
71 77 4
71 82 6
71 85 6
71 88 6
71 90 7
71 91 3
71 92 1
71 93 9
71 96 4
71 97 5
71 99 9
73 61 2
73 64 8
73 69 4
73 70 6
73 74 5
73 75 6
73 77 1
73 78 4
73 79 8
73 80 1
73 82 4
73 83 4
73 86 7
73 87 4
73 88 7
73 90 3
73 92 4
73 96 3
73 98 3
73 99 8
74 60 2
74 61 5
74 64 6
74 67 4
74 69 9
74 70 6
74 75 6
74 77 7
74 82 4
74 83 6
74 84 7
74 88 1
74 89 4
74 91 5
74 93 7
74 94 2
74 96 9
74 97 7
74 98 8
74 99 6
75 52 5
75 60 3
75 61 2
75 64 7
75 69 5
75 76 9
75 77 2
75 78 4
75 79 6
75 81 9
75 82 9
75 85 0
75 87 7
75 91 2
75 92 3
75 93 9
75 97 8
75 98 5
80 52 9
80 61 2
80 64 1
80 70 2
80 76 2
80 77 5
80 81 3
80 83 6
80 87 5
80 90 8
80 95 4
80 97 5
80 98 2
80 99 3
82 52 1
82 56 3
82 64 3
82 67 9
82 70 5
82 72 2
82 76 1
82 77 7
82 78 6
82 84 4
82 88 6
82 89 7
82 90 4
82 91 5
82 92 9
82 93 3
82 94 5
82 95 2
83 56 8
83 67 5
83 77 2
83 84 7
83 85 8
83 86 1
83 89 3
83 92 8
83 94 5
83 95 5
83 96 2
83 97 6
84 56 3
84 60 8
84 61 6
84 67 8
84 69 5
84 70 3
84 72 7
84 77 9
84 78 9
84 81 1
84 86 7
84 88 3
84 90 3
84 92 3
84 94 3
85 52 6
85 60 9
85 61 5
85 64 6
85 69 6
85 70 7
85 72 6
85 81 1
85 87 5
85 89 9
85 90 1
85 98 3
87 56 1
87 60 6
87 69 7
87 70 6
87 76 2
87 78 6
87 79 4
87 86 4
87 91 7
87 92 2
87 94 6
87 95 3
87 97 6
89 52 4
89 60 8
89 64 2
89 67 7
89 77 6
89 78 4
89 79 4
89 81 2
89 92 8
89 93 7
89 94 4
90 64 6
90 67 9
90 69 4
90 70 7
90 72 5
90 76 6
90 78 4
90 88 5
90 92 4
90 93 6
90 97 5
90 98 6
91 52 8
91 61 5
91 76 1
91 77 1
91 79 9
91 81 8
91 86 2
91 94 2
91 95 8
91 96 8
91 98 6
91 99 4
92 60 1
92 72 9
92 76 5
92 93 5
92 96 7
92 97 9
92 99 7
93 52 8
93 56 8
93 61 4
93 64 4
93 67 8
93 70 3
93 78 7
93 81 3
93 86 5
93 95 3
93 98 2
95 52 6
95 56 9
95 61 6
95 64 1
95 70 4
95 76 5
95 77 5
95 78 1
95 79 1
95 94 5
95 96 1
95 97 6
96 56 5
96 60 6
96 64 5
96 69 2
96 70 9
96 72 4
96 79 9
96 81 5
96 88 6
96 99 7
97 60 6
97 61 1
97 64 7
97 67 4
97 69 3
97 77 6
97 78 8
97 88 8
97 94 2
97 98 6
98 56 1
98 60 7
98 64 1
98 72 1
98 76 4
98 77 1
98 79 5
98 94 6
98 99 1
99 56 7
99 60 6
99 69 9
99 70 5
99 76 3
99 77 7
99 78 4
99 79 4
99 86 6
99 94 2
56 52 1
56 61 6
56 67 5
56 70 9
56 76 6
56 79 2
56 81 9
56 88 2
64 52 9
64 61 5
64 78 6
64 79 7
64 81 6
64 88 9
64 94 9
70 52 2
70 60 6
70 72 8
70 76 7
70 79 5
70 81 5
70 86 5
70 88 7
72 52 8
72 61 5
72 67 8
72 69 1
72 76 8
72 78 8
72 79 7
72 88 3
72 94 1
76 60 8
76 67 5
76 69 3
76 77 2
76 86 1
76 88 3
76 94 2
77 60 5
77 86 7
77 94 7
78 52 3
78 61 6
78 67 8
78 69 3
78 79 9
78 86 8
78 88 9
78 94 5
81 79 7
81 86 6
81 88 9
86 52 3
86 60 6
86 79 4
86 88 1
52 60 8
52 61 9
52 67 2
52 69 4
52 79 2
52 88 6
52 94 6
60 61 1
60 69 9
60 88 1
60 94 2
61 69 4
61 79 1
67 69 5
67 79 5
69 79 9
69 88 3
79 94 3
